행정동코드,시도명,시군구명,읍면동명,주소,lat,lng
1111051500,서울특별시,종로구,청운효자동,서울특별시 종로구 청운효자동,37.584137,126.970652
1111053000,서울특별시,종로구,사직동,서울특별시 종로구 사직동,37.575393,126.965925
1111054000,서울특별시,종로구,삼청동,서울특별시 종로구 삼청동,37.585013,126.981836
1111055000,서울특별시,종로구,부암동,서울특별시 종로구 부암동,37.592479,126.9641
1111056000,서울특별시,종로구,평창동,서울특별시 종로구 평창동,37.606317,126.968187
1111057000,서울특별시,종로구,무악동,서울특별시 종로구 무악동,37.576003,126.958148
1111058000,서울특별시,종로구,교남동,서울특별시 종로구 교남동,37.568527,126.964438
1111060000,서울특별시,종로구,가회동,서울특별시 종로구 가회동,37.580078,126.9848
1111061500,서울특별시,종로구,종로1.2.3.4가동,서울특별시 종로구 종로1.2.3.4가동,37.574461,126.990262
1111063000,서울특별시,종로구,종로5.6가동,서울특별시 종로구 종로5.6가동,37.572015,127.005041
1111064000,서울특별시,종로구,이화동,서울특별시 종로구 이화동,37.577008,127.004338
1111065000,서울특별시,종로구,혜화동,서울특별시 종로구 혜화동,37.586919,127.000576
1111067000,서울특별시,종로구,창신제1동,서울특별시 종로구 창신제1동,37.570758,127.016363
1111068000,서울특별시,종로구,창신제2동,서울특별시 종로구 창신제2동,37.574458,127.010863
1111069000,서울특별시,종로구,창신제3동,서울특별시 종로구 창신제3동,37.5779055,127.0150474
1111070000,서울특별시,종로구,숭인제1동,서울특별시 종로구 숭인제1동,37.577805,127.015627
1111071000,서울특별시,종로구,숭인제2동,서울특별시 종로구 숭인제2동,37.574867,127.019988
1114052000,서울특별시,중구,소공동,서울특별시 중구 소공동,37.56405,126.980053
1114054000,서울특별시,중구,회현동,서울특별시 중구 회현동,37.557286,126.979322
1114055000,서울특별시,중구,명동,서울특별시 중구 명동,37.558251,126.985229
1114057000,서울특별시,중구,필동,서울특별시 중구 필동,37.560153,126.99557
1114058000,서울특별시,중구,장충동,서울특별시 중구 장충동,37.561895,127.007881
1114059000,서울특별시,중구,광희동,서울특별시 중구 광희동,37.564494,127.005062
1114060500,서울특별시,중구,을지로동,서울특별시 중구 을지로동,37.566972,126.991205
1114061500,서울특별시,중구,신당동,서울특별시 중구 신당동,37.562097,127.014548
1114062500,서울특별시,중구,다산동,서울특별시 중구 다산동,37.554286,127.008232
1114063500,서울특별시,중구,약수동,서울특별시 중구 약수동,37.552479,127.009002
1114064500,서울특별시,중구,청구동,서울특별시 중구 청구동,37.557083,127.014687
1114065000,서울특별시,중구,신당제5동,서울특별시 중구 신당제5동,37.565142,127.02185
1114066500,서울특별시,중구,동화동,서울특별시 중구 동화동,37.560043,127.019456
1114067000,서울특별시,중구,황학동,서울특별시 중구 황학동,37.567345,127.021281
1114068000,서울특별시,중구,중림동,서울특별시 중구 중림동,37.558898,126.966731
1117051000,서울특별시,용산구,후암동,서울특별시 용산구 후암동,37.548638,126.978134
1117052000,서울특별시,용산구,용산2가동,서울특별시 용산구 용산2가동,37.546133,126.985578
1117053000,서울특별시,용산구,남영동,서울특별시 용산구 남영동,37.542843,126.973331
1117055500,서울특별시,용산구,청파동,서울특별시 용산구 청파동,37.5488,126.9674
1117056000,서울특별시,용산구,원효로제1동,서울특별시 용산구 원효로제1동,37.537219,126.967681
